,Price,Title,Subtitle,Discount_rate,Item Location,Refurbished,No of Watchers
38,402.87,Apple iPhone 12 64GB 128GB 256GB - Unlocked - All Colors - VERY GOOD CONDITION,12 MONTHS WARRANTY | UNLOCKED | TOP UK SELLER,0%,UK,N/A,0
39,436.99 to 542.79,Apple iPhone 12 - All Sizes - All Colours - Unlocked - Good Condition,SUMMER SALE 10% OFF WITH CODE SUMMERMAGPIE10 max £150,8% off,UK,Refurbished,24+
40,389.99 to 519.99,Apple iPhone 11 - 64GB/128GB/256GB - All Colours - Unlocked Very Good Condition,SUMMER SALE 10% OFF WITH CODE SUMMERMAGPIE10 max £150,0%,UK,Refurbished,0
41,289.99 to 339.99,Apple iPhone 11 64GB/128GB/256GB - ALL COLOURS - UNLOCKED - VERY GOOD CONDITION,12 Month Warranty - Fast & Free Shipping - Unlocked,0%,UK,Refurbished,0
42,264.99 to 309.99,Apple iPhone 11 64/128/256GB - All Colours - Good Condition,FREE NEXT DAY DELIVERY & 12 MONTH WARRANTY,0%,UK,Refurbished,29+
43,310.00,Apple iPhone 11 Pro Max - 256GB - Space Grey (Unlocked) A2218 (CDMA + GSM),Pre-owned,0%,UK,N/A,0
44,340.00,Apple iPhone 11 Pro Max - 64GB - Silver (Unlocked) pristine,Pre-owned,0%,UK,N/A,0
45,650.00,Apple iPhone 12 Pro Max - 128GB - Graphite (Unlocked),Opened – never used,0%,UK,N/A,0
46,512.10,Apple iPhone 13 mini - 128GB - Midnight (Unlocked),Pre-owned,0%,UK,N/A,0
47,384.99 to 389.99,NEW SEALED iPhone SE 2022 3rd Gen 5G 64GB -128GB Unlocked with APPLE WARRANTY,✅SEALED BOX ✅ 5 FREE ITEMS ✅ CHEAPEST ON EBAY✅NEXT DAY,0%,UK,N/A,0
48,350.00,Apple iPhone 12 - 64GB - White,Pre-owned,0%,UK,N/A,0
49,350.00,New listingApple iPhone 11 Pro Max 256GB Space Grey (Unlocked),Pre-owned,0%,UK,N/A,0
50,450.00,Apple iPhone 13 - 256GB - Blue (Unlocked),Pre-owned,0%,UK,N/A,0
51,479.99,New listingApple iPhone 12 - 64GB - Blue (Unlocked),Brand new,0%,UK,N/A,0
52,385.00,Apple iPhone 12 - 128GB,Pre-owned,0%,UK,N/A,0
53,300.00,New listingApple iPhone 11 Pro Max - 64GB - Midnight Green (Vodafone) A2218 (CDMA + GSM),Pre-owned,0%,UK,N/A,0
